subject,file,delta_rel,theta_rel,alpha_rel,beta_rel,gamma_rel
al,1_al_lkm_pre.csv,46.21384999423416,16.24543396948035,7.3557339726986335,22.758069376949194,3.825091836584582
al,2_al_mm_pre.csv,41.5085914086785,13.757732173755247,6.349077908023314,31.993277413449754,3.5301621071823557
al,3_al_fam_pre.csv,50.31451422095448,18.66910958798322,10.577077322343282,13.106720735405375,1.9177548055847846
al,4_al_bsm_pre.csv,49.562338956464764,19.801639699176654,9.137915392868349,13.480722724167503,3.25102174449101
al,5_al_om_pre.csv,62.34490035002473,18.136569470367956,6.173568543159048,8.348666944083345,1.5683930431926008
cc,1_chermine_cheah_fam_pre.csv,48.086170444256304,7.043789633198276,4.293998812974995,34.8540627507564,4.581567272125235
cc,2_chermine_cheah_om_pre.csv,36.58655435306293,7.645509711514563,5.556601461886646,43.45698937272223,6.316313266998472
cc,3_chermine_cheah_bsm_pre.csv,21.36341092796106,11.651472458067504,6.322757692458177,51.43425856235549,7.64738314795004
cc,4_chermine_cheah_lkm_pre.csv,22.227911048037825,14.631464701164655,6.237245001141277,49.321376777760264,6.735770137724679
cc,5_chermine_cheah_mm_pre.csv,40.15634245586101,7.196238523558156,4.165531814384527,42.83209808409264,5.470838409963365
qy,1_qy_om_pre.csv,43.989853040658176,15.426083067921535,7.655071367169877,24.92975391491092,4.209194151323289
qy,2_qy_bsm_pre.csv,49.00631865878929,16.66395813342579,9.310108078876599,17.61252414053516,2.855445028404597
qy,3_qy_fam_pre.csv,44.992864853650886,15.565285493069325,8.794785489041853,22.13630661698931,4.465519077189196
qy,4_qy_mm_pre.csv,38.94055508043388,15.959906597208894,10.21141771098216,27.291333148840796,3.4752078952348753
qy,5_qy_lkm_pre.csv,57.32829595699909,15.344779230889928,8.214408709276945,11.959800244752923,3.2471451882442866
rt,1_rt_lkm_pre.csv,30.524609136223216,13.690610900740825,9.084017496862757,36.31160065884683,6.5713719863902105
rt,2_rt_fam_pre.csv,28.034641468855327,8.949568094093026,6.163989365071705,48.49403792479411,6.9574092649297725
rt,3_rt_om_pre.csv,30.702481233421683,7.404026350708904,4.822062911221281,46.93756896506158,9.069368153076224
rt,4_rt_mm_pre.csv,32.52642640730731,7.2799386610452395,4.719432934035442,45.22838003603864,8.731492345672516
rt,5_rt_bsm_pre.csv,15.887790788247905,17.945604370189344,6.362617317534193,49.52057557277366,8.707005463634694
sk,2_sk_bsm_pre.csv,31.993989095762615,12.440073273616063,10.91693286024985,28.543214194821335,11.74640259633859
sk,2_sk_mm_pre.csv,16.47449504985437,9.68653572151269,9.743455829846091,36.21617727601158,24.917560836626876
sk,3_sk_lkm_pre.csv,20.079690604461096,6.661411073092655,5.809638911863834,37.5676372058235,28.736764586400987
sk,4_sk_fam_pre.csv,26.67687358964561,9.089747641006113,6.899342962510977,35.15194804494708,20.067104380878508
sk,5_sk_om_pre.csv,30.763915925709412,6.525483550886262,7.637368044102311,39.26906552868947,14.114212819488072
ty,1_ty_fam_pre.csv,33.56229137366363,13.81522171382792,9.9396497384483,33.014397226907626,5.654904407972327
ty,2_ty_om_pre.csv,35.234196930552386,14.005689584947659,10.57671714558019,30.850827588168688,4.888880277033381
ty,3_ty_mm_pre.csv,27.472449436084908,13.153636268000422,10.979033243293127,34.186388408245634,11.917694433308084
ty,4_ty_bsm_pre.csv,12.998699775870236,19.425942193617217,5.937723618519095,48.805931377049646,12.476101202085381
ty,5_ty_lkm_pre.csv,18.48275722547993,13.948668763210932,8.030253331682712,46.02007120925366,8.840403236296327
wl,1_wl_mm_pre.csv,61.31662168714056,11.921288546960001,5.00795306224362,16.84943297804022,2.4663870029211
wl,2_wl_fam_pre.csv,44.01870389660942,6.82840635879261,3.8304436891261933,40.383879101388295,4.222316239903206
wl,3_wl_bsm_pre.csv,44.91120558622282,6.621399110627792,4.004867294181433,39.489594632128686,4.116442297212941
wl,4_wl_lkm_pre.csv,55.450536446905666,9.024608892706107,3.8726540467191697,27.01202656628447,4.087126158773768
wl,5_wl_om_pre.csv,54.527852065888936,21.753425609797887,5.284616627274441,8.539076591707612,6.921851495316708
wn_bt,1_wn_mm_pre.csv,27.30047093212447,10.43142793603748,8.14879653842333,46.96837333463862,4.8547898998957395
wn_bt,2_wn_bsm_pre.csv,43.339433754581975,10.995534428616516,6.994438148381538,32.08421781605729,4.477458420361695
wn_bt,3_wn_om_pre.csv,25.67359472929617,9.193379562788696,10.0608894544147,46.92158976418149,5.409861831759142
wn_bt,4_wn_fam_pre.csv,41.8094464315397,9.966289928909342,7.151313520597686,33.714394613640614,5.11913801278591
wn_bt,5_wn_lkm_pre.csv,34.797574881719704,7.225411303787592,6.632128340278238,45.081495302097544,4.754429308615773
yl,1_yl_om_pre.csv,25.72469175907394,9.280459481863517,7.426167659340127,38.802592695484975,20.28129743353469
yl,2_yl_lkm_pre.csv,20.09196251856704,8.268473673988389,8.73127167461337,52.482594535910316,8.389717623632995
yl,3_yl_fam_pre.csv,13.192392918377939,17.41710432652136,9.297125990567386,40.937024976928186,18.49421784675747
yl,4_yl_mm_pre.csv,28.275419440033822,8.55982463404392,8.27843371387952,36.7182713996886,19.455815184890177
yl,5_yl_bsm_pre.csv,30.861381310815894,12.78865951717151,10.479013904016073,34.96749528369432,7.540373426551501
zw,1_zw_fam_pre.csv,37.76461373049847,16.03447389970908,22.492955970090883,15.050283421344094,3.3977041506126353
zw,2_zw_lkm_pre.csv,24.901879576565875,15.621964520133643,30.798268307295068,18.62000973084146,4.199329896131647
zw,3_zw_om_pre.csv,36.35829940781171,14.620161871153746,28.059529157134975,13.107528303408847,2.8477237919480562
zw,4_zw_mm_pre.csv,25.786134229620338,14.92117896893005,29.430534184749682,19.44482130087006,4.583651021058034
zw,5_zw_bsm_pre.csv,24.43101362778529,15.702776299996117,29.04868990306703,20.617869933196175,4.322846501156263
